index;NO_MUNICIPIO;NO_ENTIDADE;IN_BIBLIOTECA;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_PISCINA;IN_QUADRA_ESPORTES;IN_REFEITORIO;IN_SALA_ATELIE_ARTES;IN_SALA_LEITURA;IN_ACESSIBILIDADE_ELEVADOR;IN_INTERNET_APRENDIZAGEM;IN_ACESSO_INTERNET_COMPUTADOR;QT_PROF_PSICOLOGO;Código da Escola;Rede;IDEB
833;Rio de Janeiro;0204501 CIEP PRESIDENTE TANCREDO NEVES; true;false; true;false;true;true;false;true;false;false;false;0;33063273;Estadual;6,1
834;Rio de Janeiro;0204003 ESCOLA MUNICIPAL ALBERTO BARTH;false;false;false;false;false;true;false;true;false;false;false;0;33064067;Municipal;7
835;Rio de Janeiro;0204006 ESCOLA MUNICIPAL ANNE FRANK;false;false;false;false;true;true;false;true;false;false;false;0;33064075;Municipal;6,2
836;Rio de Janeiro;0204002 ESCOLA MUNICIPAL MARIA LEOPOLDINA;false;false; true;false;false;true;false;true;false;true;false;0;33064164;Municipal;5,9
837;Rio de Janeiro;0204008 ESCOLA MUNICIPAL VITAL BRASIL; true;false;false;false;true;true;false;true;false;false;false;0;33064210;Municipal;5,9
838;Rio de Janeiro;0205004 ESCOLA MUNICIPAL DOUTOR COCIO BARCELLOS;false;false; true;false;false;true;false;true;false;false;false;0;33064962;Municipal;6,2
839;Rio de Janeiro;0204018 ESCOLA MUNICIPAL ESTACIO DE SA; true;false; true;false;false;true;false;false;false;true;true;0;33064970;Municipal;7,1
840;Rio de Janeiro;0204019 ESCOLA MUNICIPAL MINAS GERAIS; true;false;false;false;false;true;false;true;false;true;false;0;33064997;Municipal;6,9
841;Rio de Janeiro;0205007 ESCOLA MUNICIPAL PENEDO;false;false;false;false;false;true;false;true;false;false;false;0;33065004;Municipal;6,9
842;Rio de Janeiro;0205001 ESCOLA MUNICIPAL SAO TOMAS DE AQUINO;false;false; true;false;false;true;true;true;false;false;true;0;33065039;Municipal;5,9
843;Rio de Janeiro;0206501 CIEP PRESIDENTE JOAO GOULART; true;false;false;false;true;true;false;false;false;false;false;0;33065152;Estadual;6
844;Rio de Janeiro;0206502 CIEP NACAO RUBRO NEGRA;false; true; true;false;true;true;false;true;false;false;false;0;33065225;Estadual;5,6
